week,material_id,material_desc,material_group_id,material_group_desc,abcd,reqs,inventory_ultimo,moq
27,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,62470,190000
28,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,62470,190000
29,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,62470,190000
30,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,62470,190000
31,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,62470,190000
32,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,62470,190000
33,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,95000,-32530,190000
34,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,-32530,190000
35,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,-32530,190000
36,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,-32530,190000
37,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,-32530,190000
8,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,483200,400000
9,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,483200,400000
10,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,483200,400000
11,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,483200,400000
12,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,483200,400000
13,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,483200,400000
14,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,483200,400000
15,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,483200,400000
16,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,483200,400000
17,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,483200,400000
18,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,483200,400000
19,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,483200,400000
20,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,483200,400000
21,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,600000,-116800,400000
22,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,-116800,400000
23,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,-116800,400000
24,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,-116800,400000
25,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,-116800,400000
26,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,-116800,400000
27,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,-116800,400000
